STATEFP,COUNTYFP,COUSUBFP,COUSUBNS,GEOID,GEOIDFQ,NAME,NAMELSAD,LSAD,CLASSFP,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON
50,027,56050,01462176,5002756050,0600000US5002756050,Plymouth,Plymouth town,43,T1,G4040,A,124771309,1452036,+43.5088472,-072.6936339
50,027,56350,01462177,5002756350,0600000US5002756350,Pomfret,Pomfret town,43,T1,G4040,A,102240236,200425,+43.6996064,-072.5117644
50,027,58375,01462183,5002758375,0600000US5002758375,Reading,Reading town,43,T1,G4040,A,106434498,484148,+43.4964932,-072.5999690
50,027,60850,01462191,5002760850,0600000US5002760850,Royalton,Royalton town,43,T1,G4040,A,104569048,1489673,+43.8145336,-072.5528505
50,027,63775,01462204,5002763775,0600000US5002763775,Sharon,Sharon town,43,T1,G4040,A,103103246,1298458,+43.7875746,-072.4351726
50,009,11800,01462064,5000911800,0600000US5000911800,Canaan,Canaan town,43,T1,G4040,A,85526365,1001721,+44.9913563,-071.5980243
50,009,39700,01462133,5000939700,0600000US5000939700,Lemington,Lemington town,43,T1,G4040,A,91762257,373773,+44.8820056,-071.5802905
50,009,41425,01462139,5000941425,0600000US5000941425,Lunenburg,Lunenburg town,43,T1,G4040,A,116998026,1622981,+44.4709955,-071.7059469
50,009,42475,01462141,5000942475,0600000US5000942475,Maidstone,Maidstone town,43,T1,G4040,A,79498953,3927976,+44.6476156,-071.6319443
50,007,59275,01462186,5000759275,0600000US5000759275,Richmond,Richmond town,43,T1,G4040,A,83853391,1337424,+44.3819717,-072.9796264
50,007,73975,01462232,5000773975,0600000US5000773975,Underhill,Underhill town,43,T1,G4040,A,132646841,189148,+44.5423672,-072.8832262
50,007,80350,01462251,5000780350,0600000US5000780350,Westford,Westford town,43,T1,G4040,A,100806173,542380,+44.6074224,-073.0036416
50,007,85150,01462268,5000785150,0600000US5000785150,Winooski,Winooski city,25,C5,G4040,F,3576484,236698,+44.4955870,-073.1848573
50,007,10300,01462058,5000710300,0600000US5000710300,Buels,Buels gore,31,Z1,G4040,N,12944561,10633,+44.1984151,-072.9477636
50,007,24175,01462091,5000724175,0600000US5000724175,Essex,Essex town,43,T1,G4040,A,88941924,817671,+44.5386232,-073.0502272
50,025,48400,01462159,5002548400,0600000US5002548400,Newfane,Newfane town,43,T1,G4040,A,102981054,697246,+42.9727535,-072.7040391
