GEOID,NAME,NAMELSAD,ALAND,DISTRICT
5001930175,Greensboro,Greensboro town,97906517,Mountain View UESD
5000530550,Groton,Groton town,139414527,Blue Mountain USD
5000930775,Guildhall,Guildhall town,85391281,Northeast Kingdom Choice School District
5002530925,Guilford,Guilford town,102422834,Windham Southeast SD
5002531150,Halifax,Halifax town,102868738,Halifax
5000131525,Hancock,Hancock town,99657749,Granville-Hancock Unified District
5000531825,Hardwick,Hardwick town,99107582,Hazen UHSD
5000531825,Hardwick,Hardwick town,99107582,Mountain View UESD
5002732275,Hartford,Hartford town,116836775,Hartford
5002732425,Hartland,Hartland town,117145787,Hartland
5001133025,Highgate,Highgate town,132156861,Missisquoi Valley School Distrist
5000733475,Hinesburg,Hinesburg town,101781959,Champlain Valley USD
5001933775,Holland,Holland town,98241076,Holland
5001933775,Holland,Holland town,98241076,North Country Jr UHSD
5001933775,Holland,Holland town,98241076,North Country Sr UHSD
5002134450,Hubbardton,Hubbardton town,70505640,Slate Valley UUSD
5000734600,Huntington,Huntington town,99009762,Mt. Mansfield UUSD
5001535050,Hyde Park,Hyde Park town,97566215,Lamoille North MUSD A
5001535050,Hyde Park,Hyde Park town,97566215,Lamoille North MUSD B
5002135425,Ira,Ira town,57660948,Ira
5001935575,Irasburg,Irasburg town,104302251,Lake Region UHSD
5001935575,Irasburg,Irasburg town,104302251,Lake Region Union Elm-Middle SD
5001335875,Isle La Motte,Isle La Motte town,20421053,Champlain Islands UUSD
5002536175,Jamaica,Jamaica town,126769896,West River Modified Union Education District
5001936325,Jay,Jay town,87840666,Jay
5001936325,Jay,Jay town,87840666,North Country Jr UHSD
5001936325,Jay,Jay town,87840666,North Country Sr UHSD
5000736700,Jericho,Jericho town,91829001,Mt. Mansfield UUSD
5001537075,Johnson,Johnson town,117378144,Lamoille North MUSD A
5001537075,Johnson,Johnson town,117378144,Lamoille North MUSD B
5002137685,Killington,Killington town,122587615,Mountain Views School District
5000537900,Kirby,Kirby town,63961519,Northeast Kingdom Choice School District
5000339025,Landgrove,Landgrove town,22934584,Taconic and Green Regional SD
5000139325,Leicester,Leicester town,53966710,Otter Valley UUSD
5000939700,Lemington,Lemington town,91762257,Northeast Kingdom Choice School District
5000939775,Lewis,Lewis town,100713120,Lewis
5000140075,Lincoln,Lincoln town,118130903,Lincoln
5002540225,Londonderry,Londonderry town,91862173,Taconic and Green Regional SD
5001940525,Lowell,Lowell town,146401788,Lowell
5001940525,Lowell,Lowell town,146401788,North Country Sr UHSD
5002741275,Ludlow,Ludlow town,90002333,Ludlow - Mt. Holly UUSD
5000941425,Lunenburg,Lunenburg town,116998026,Kingdom East USD
5000541725,Lyndon,Lyndon town,101891984,Kingdom East USD
5000942475,Maidstone,Maidstone town,79498953,Northeast Kingdom Choice School District
5000342850,Manchester,Manchester town,108660996,Taconic and Green Regional SD
5002543375,Marlboro,Marlboro town,104503689,Marlboro
5002343600,Marshfield,Marshfield town,112174794,Twinfield USD
5002144125,Mendon,Mendon town,98309766,Barstow UUSD
5000144350,Middlebury,Middlebury town,101608654,Addison Central USD
5002344500,Middlesex,Middlesex town,102280224,Washington Central UUSD
5002144800,Middletown Springs,Middletown Springs town,58791398,Wells Spring Unified Union District
5000745250,Milton,Milton town,133608687,Milton
5000145550,Monkton,Monkton town,92963472,Mt. Abraham USD
5001145850,Montgomery,Montgomery town,145942558,Northern Mountain Valley UUSD
5002346000,Montpelier,Montpelier city,26048126,Montpelier Roxbury School District 
5002346225,Moretown,Moretown town,102857700,Harwood UUSD
5001946450,Morgan,Morgan town,80822256,Morgan
5001946450,Morgan,Morgan town,80822256,North Country Jr UHSD
5001946450,Morgan,Morgan town,80822256,North Country Sr UHSD
5001546675,Morristown,Morristown town,131520485,Elmore-Morristown UUSD
5002147200,Mount Holly,Mount Holly town,127162742,Ludlow - Mt. Holly UUSD
5002147425,Mount Tabor,Mount Tabor town,114239500,Taconic and Green Regional SD
5000148700,New Haven,New Haven town,106590692,Mt. Abraham USD
5000547725,Newark,Newark town,95243417,Kingdom East USD
5001748175a,Newbury Less Wells River,Newbury Less Wells River,160989236,Oxbow UUSD
5002548400,Newfane,Newfane town,102981054,West River Modified Union Education District
5001948850,Newport,Newport city,15171890,Newport City
5001948925,Newport,Newport town,107555208,Newport Town
5001948850,Newport,Newport city,15171890,North Country Jr UHSD
5001948925,Newport,Newport town,107555208,North Country Sr UHSD
5001948850,Newport,Newport city,15171890,North Country Sr UHSD
5001350650,North Hero,North Hero town,34846768,Champlain Islands UUSD
5002350275,Northfield,Northfield town,115595913,Paine Mountain School District
5000952750,Norton,Norton town,99428306,Northeast Kingdom Choice School District
5002752900,Norwich,Norwich town,115239694,Dresden Interstate UHSD
5002752900,Norwich,Norwich town,115239694,Norwich
